combo_id,combo_num,streak_length,streak_mode,entry_timing,hold_period,use_ibs,use_rsi,n_instances,n_symbols,win_rate,win_rate_ci_lower,win_rate_ci_upper,mean_return,median_return,std_return,percentile_5_return,percentile_95_return,mean_mfe,median_mfe,mean_mae,median_mae,mfe_mae_ratio,median_time_to_breakeven,median_time_to_1pct,p_breakeven_by_3d,p_hit_1pct_by_3d,p_hit_2pct_by_7d,p_value,is_significant_bonferroni,is_significant_fdr
S3_AT_CLOS_H6,62,3,AT_LEAST,CLOSE_T,6,False,False,2644,20,0.5729954614220878,0.5540486970935319,0.5917304237500243,0.026096452498988416,0.009347868798373769,0.4344099183150868,-0.10124273003046219,0.128941574048118,0.07158976761794418,0.037387622441039624,-0.03795534125986849,-0.030129619993420807,1.8861579224855645,1.0,2.0,0.7613464447806354,0.6036308623298033,0.6225416036308623,3.179320734839594e-14,True,True
S3_AT_CLOS_H7,63,3,AT_LEAST,CLOSE_T,7,False,False,2644,20,0.5654311649016641,0.5464551616436237,0.5842173145529317,0.027421923366827063,0.009501525114547061,0.42083579672701993,-0.10398433073219922,0.1392084241585411,0.07686682387245163,0.04067241356123665,-0.041391927198761544,-0.03223297298857948,1.8570486825448296,1.0,2.0,0.7613464447806354,0.6036308623298033,0.6225416036308623,9.1589567158296e-12,True,True
S3_AT_OPEN_H1,64,3,AT_LEAST,OPEN_T1,1,False,False,2645,20,0.555765595463138,0.5367623314652583,0.5746071123410685,0.0037601719320904613,0.0030225151501747367,0.03954699599495864,-0.05504654410385482,0.06273136214921068,0.018973195761973087,0.014094827586206941,-0.013852572148327965,-0.009463475676521145,1.3696514668045379,1.0,1.0,0.7296786389413988,0.5939508506616257,0.6241965973534972,5.254960715075821e-09,True,True
S3_AT_OPEN_H2,65,3,AT_LEAST,OPEN_T1,2,False,False,2644,20,0.5563540090771558,0.5373488130733599,0.5751956895467949,0.006371121820514916,0.003792798802415884,0.04930998727384765,-0.06304524216972618,0.08268808109436525,0.029772661168418733,0.02175423860364488,-0.021400987001674907,-0.015520266675660576,1.3911816855030394,1.0,1.0,0.7299546142208775,0.5941754916792739,0.6244326777609682,3.6931033189140193e-09,True,True
S3_AT_OPEN_H3,66,3,AT_LEAST,OPEN_T1,3,False,False,2644,20,0.5601361573373677,0.5411423461780761,0.578955478765579,0.0068712281913596695,0.005993891270269036,0.058673930660037926,-0.08137950285664976,0.0989177616414846,0.03765731596971584,0.026810507324871044,-0.02777100574207655,-0.019286798953487172,1.3559939571313504,1.0,1.0,0.7299546142208775,0.5941754916792739,0.6244326777609682,3.3680867623430546e-10,True,True
S3_AT_OPEN_H4,67,3,AT_LEAST,OPEN_T1,4,False,False,2644,20,0.5695915279878971,0.55063105161402,0.5883500791383858,0.014248391329254201,0.007286755217646681,0.2751014720715985,-0.09189570326021788,0.11406314503854774,0.04978925504399594,0.031122554657109693,-0.03305916278107969,-0.023596655261723547,1.5060652132573413,1.0,1.0,0.7299546142208775,0.5941754916792739,0.6244326777609682,4.3822181028960307e-13,True,True
S3_AT_OPEN_H5,68,3,AT_LEAST,OPEN_T1,5,False,False,2644,20,0.5722390317700454,0.553289141749851,0.5909793146290051,0.020196034815531817,0.00911518542630746,0.37745508262698896,-0.09639356403207616,0.12161580927008234,0.06100005110816393,0.034852807813001006,-0.037566083737435585,-0.026240920575557942,1.6238065041466057,1.0,1.0,0.7299546142208775,0.5941754916792739,0.6244326777609682,5.756298909532492e-14,True,True
S3_AT_OPEN_H6,69,3,AT_LEAST,OPEN_T1,6,False,False,2644,20,0.5665658093797277,0.5475939065370633,0.5853445663565423,0.021389096691373018,0.009093320720630108,0.35728579666587157,-0.10042102155787812,0.13014217681213952,0.06659320841665049,0.038586799343372,-0.04148196787239394,-0.02924993189601497,1.6053531650548325,1.0,1.0,0.7299546142208775,0.5941754916792739,0.6244326777609682,4.070848423098937e-12,True,True
S3_AT_OPEN_H7,70,3,AT_LEAST,OPEN_T1,7,False,False,2644,20,0.5669440242057489,0.5479735105169417,0.5857202946090139,0.020012684143938423,0.008467812523064142,0.3458752761061568,-0.11576044633556655,0.14035355244233846,0.07141001945442525,0.04240513453110638,-0.04558833774635868,-0.03217681676728133,1.5664098097134294,1.0,1.0,0.7299546142208775,0.5941754916792739,0.6244326777609682,3.0973175800310734e-12,True,True
S3_EX_CLOS_H1,71,3,EXACT,CLOSE_T,1,False,False,1463,20,0.5502392344497608,0.5246493961512965,0.5755659332669111,0.012179847690857918,0.002424920723745618,0.36581151149412505,-0.0447586144353916,0.04779981563156088,0.028309935858617973,0.012461336478337352,-0.005612935154244925,-0.010544384502206957,5.043695514138955,1.0,2.0,0.760082023239918,0.6042378673957621,0.6144907723855092,6.671607773045368e-05,True,True
S3_EX_CLOS_H2,72,3,EXACT,CLOSE_T,2,False,False,1462,20,0.5663474692202463,0.5408032014887958,0.5915439898343899,0.014441263203617802,0.004783253472494859,0.3493417085212923,-0.0602478655034983,0.07322860599124749,0.0380364377812697,0.019705534181679835,-0.01413898647320504,-0.015350254246392702,2.6901813544664606,1.0,2.0,0.7606019151846786,0.6046511627906976,0.6149110807113544,2.1556540849524254e-07,True,True
S3_EX_CLOS_H3,73,3,EXACT,CLOSE_T,3,False,False,1461,20,0.5728952772073922,0.5473720860568179,0.5980361413778976,0.017322119314007674,0.006352063442374921,0.3265119033479608,-0.06037500278688155,0.08924822441595574,0.04618825786305522,0.025536604062859392,-0.019620184608066756,-0.019321377004331692,2.354119432906106,1.0,2.0,0.7611225188227242,0.6050650239561944,0.6153319644079398,1.381063865256114e-08,True,True
